 Name           Version  License                                             Author                                  URL                                         
 MouseInfo      0.1.3    GNU General Public License v3 or later (GPLv3+)     Al Sweigart                             https://github.com/asweigart/mouseinfo      
 PyAutoGUI      0.9.54   BSD License                                         Al Sweigart                             https://github.com/asweigart/pyautogui      
 PyGetWindow    0.0.9    BSD License                                         Al Sweigart                             https://github.com/asweigart/pygetwindow    
 PyMsgBox       2.0.1    GNU General Public License v3 or later (GPLv3+)     Al Sweigart <al@inventwithpython.com>   https://github.com/asweigart/pymsgbox       
 PyRect         0.2.0    BSD License                                         Al Sweigart                             https://github.com/asweigart/pyrect         
 PyScreeze      1.0.1    MIT License                                         Al Sweigart                             https://github.com/asweigart/pyscreeze      
 customtkinter  5.2.2    MIT License                                         Tom Schimansky                          https://customtkinter.tomschimansky.com     
 darkdetect     0.8.0    BSD License                                         Alberto Sottile <asottile@gmail.com>    http://github.com/albertosottile/darkdetect 
 packaging      25.0     Apache Software License; BSD License                Donald Stufft <donald@stufft.io>        https://github.com/pypa/packaging           
 pillow         10.4.0   Historical Permission Notice and Disclaimer (HPND)  "Jeffrey A. Clark" <aclark@aclark.net>  https://python-pillow.org                   
 psutil         6.0.0    BSD License                                         Giampaolo Rodola                        https://github.com/giampaolo/psutil         
 pyperclip      1.11.0   BSD License                                         Al Sweigart <al@inventwithpython.com>   https://github.com/asweigart/pyperclip      
 pystray        0.19.5   GNU Lesser General Public License v3 (LGPLv3)       Moses Palmér                            https://github.com/moses-palmer/pystray     
 pytweening     1.2.0    MIT License                                         Al Sweigart                             https://github.com/asweigart/pytweening     
 screeninfo     0.8.1    MIT License                                         Marcin Kurczewski                       https://github.com/rr-/screeninfo           
 six            1.17.0   MIT License                                         Benjamin Peterson                       https://github.com/benjaminp/six            
 toml           0.10.2   MIT License                                         William Pearson                         https://github.com/uiri/toml                
